CompanyName;InstagramLink;DisplayName;;Followers;Req. Followers;Extracted Followers;KVK code;Sector (KvK);Sector 2;Sector 3;Sector 4;Sector 5;Sector 6;Sector 7;Sector 8;SBI_1;SBI_2;SBI_3;SBI_4;SBI_5;SBI_6;SBI_7;SBI_8;
Pluto Sport;https://www.instagram.com/plutosport.nl/;plutosport.nl;;1972;955;697;08115754 0000;Detailhandel via internet in vrijetijdsartikelen;Winkels in sportartikelen (geen watersport);Groothandel in sportartikelen (geen watersport);Winkels in bovenkleding en mode-artikelen (algemeen assortiment);Detailhandel via internet in kleding en mode-artikelen;Winkels in schoenen;;;47916;47643;46496;47713;47914;47721;;;
woonboulevardpoortvliet.nl;https://www.instagram.com/woonboulevardpoortvliet/;woonboulevardpoortvliet;;1953;;;22033955 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in meubels;Uitleenbureaus;Winkels in vloerbedekking en gordijnen;Detailhandel via internet in huis- en tuinartikelen;Reparatie en stoffering van meubels;Winkels gespecialiseerd in overige artikelen n.e.g.;Groothandel in woningtextiel en vloerbedekking;47593;47591;78202;4753;47915;9524;47789;46472;
morres.nl;https://www.instagram.com/morreswonen/;morreswonen;;1952;;;28051940 0000;Winkels in meubels;Winkels in vloerbedekking en gordijnen;Winkels in glas-, porselein- en aardewerk;Detailhandel via internet in huis- en tuinartikelen;Groothandel in glas, porselein en aardewerk;Detailhandel via internet in een algemeen assortiment non-food;Groothandel in huishoudtextiel en beddengoed;;47591;4753;47595;47915;46441;47919;46412;;
Hubo;https://www.instagram.com/hubo_nl/;hubo_nl;;1942;;;13024299 0000;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;Algemene burgerlijke en utiliteitsbouw;;;;;;;47528;4120;;;;;;;
beterbed.nl;https://www.instagram.com/beter_bed/;beter_bed;;1917;;;16040335 0000;Winkels in meubels;Groothandel in huismeubilair;;;;;;;47591;46471;;;;;;;
hoogenboezem.nl;https://www.instagram.com/hoogenboezem.meubelen/;hoogenboezem.meubelen;;1891;;;23031162 0000;Winkels in meubels;Groothandel in huismeubilair;Detailhandel via internet in huis- en tuinartikelen;Vervaardiging van overige meubels;Winkels in artikelen voor woninginrichting algemeen assortiment;Reparatie en stoffering van meubels;;;47591;46471;47915;3109;47593;9524;;;
villajipp.nl;https://www.instagram.com/villajipp_outlet/;villajipp_outlet;;1797;;;57581924 0000;Groothandel in huismeubilair;Detailhandel via internet in kleding en mode-artikelen;Groothandel in werkkleding;Detailhandel via internet in huis- en tuinartikelen;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in meubels;Winkels gespecialiseerd in overige artikelen n.e.g.;Winkels in verlichtingsartikelen;46471;47914;46422;47915;47593;47591;47789;47592;
vidaxl.nl;https://www.instagram.com/vidaxl_nl/?hl=nl;vidaxl_nl;;1706;;;74214241 0000;Niet-gespecialiseerde groothandel in niet-consumentenartikelen;Groothandel in computers, randapparatuur en software;Ontwikkelen, produceren en uitgeven van software;;;;;;46902;4651;6201;;;;;;
Mline;https://www.instagram.com/mline_nl/;mline_nl;;1056;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
